Title,Authors,Publish Date,Summary,Category
‘We’re gonna be fine’: Harris embraces crying woman while campaigning,Cassandra Eldred,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",science
"Mother of mass shooting suspect called Apalachee High School with warning after getting alarming text, grandfather says","Isabel Rosales, Sara Smart, Dalia Faheid",09/07/2024,"CNN —The mother of the teenager suspected of killing four people during a shooting at a Winder, Georgia, high school called to warn a school counselor before the attack, according to the suspect’s aunt and grandfather.
The Barrow County School District did not return CNN’s request for comment.
Also on Saturday, in front of the high school, more than 100 motorcyclists from different motorcycle clubs staged a rally to show their support.
In the meantime, it’s unclear when classes will resume at Apalachee High School.
The rest of the Barrow County school system is expected to return to class Tuesday.",science
Google’s search business was declared to be a monopoly. Now its ad business is on trial,Brian Fung,09/09/2024,"Specifically, the high-stakes legal battle focuses on the $31 billion portion of Google’s ad business that matches website publishers with advertisers and determines what banner ads appear on countless sites across the web.
Authorities have called for Google’s alleged ad-tech monopoly – which is distinct from Google’s search or search ads business – to be broken up.
Google competes against hundreds of companies that offer their own ad exchanges or ad tech tools, including Amazon, Meta, Microsoft and TikTok to name a few, according to its filings.
Advertisers can choose whether to use Google’s tools, or rival tools, or even divert ad spend away from websites and to other formats and platforms that don’t involve Google’s ad tech, such as on Instagram or Netflix.
Still, a breakup of Google’s ad tech business could potentially trigger a shakeup of the digital advertising industry and Google’s role within it.",science
Kentucky I-75 shooting: Children told to stay home from school as suspect Joseph Couch evades capture for third day,Elizabeth Wolfe,09/09/2024,"Though his motive is still unknown, the attack appeared to be a “random act” of violence, Laurel County Sheriff’s Deputy Gilbert Acciardo said, according to The Associated Press.
Search efforts led by the Kentucky State Police were paused overnight and are set to resume after 8 a.m. Monday morning, Root said.
Just hours before the shooting, Couch legally purchased a firearm and about 1,000 rounds of ammunition, sheriff’s office officials said.
Joseph A. Couch, a suspect in the Saturday shooting, is shown in an undated photograph.
Laurel County Sheriff's Office/ReutersIt is also possible Couch has killed himself somewhere in the wilderness, Laurel County Sheriff’s Office Captain Richard Dalrymple said Sunday.",science
Three Israeli civilians shot dead at Allenby Crossing between West Bank and Jordan,Tamar Michaelis,09/08/2024,"CNN —Three Israeli civilians have been killed in a shooting at the Allenby Crossing on the border between the occupied West Bank and Jordan, Israeli authorities said Sunday.
The Israel Airports Authority, which runs the border terminal at the Allenby Crossing with Jordan, told CNN that the three men who died worked at the crossing.
The Allenby crossing mainly serves Palestinians and foreigners.
It said the crossings would reopen on Monday for passenger crossings only; the Yitzhak Rabin crossing (near Eilat) and the Jordan River crossing (near Beit Shean) from 8 a.m. local time and the Allenby Crossing from 10 a.m local time.
It has been highly critical of Israel’s military operations in the West Bank and Gaza.",science
Hunt widens for suspect who allegedly threw scalding coffee on baby in Australia,Hilary Whiteman,09/09/2024,"Brisbane, Australia CNN —A man wanted for allegedly throwing scalding coffee on a baby in an unprovoked attack at a park in the northern Australian state of Queensland is now the subject of an international manhunt.
Closed circuit television video released by police shows the man running from the scene, wearing a blue plaid shirt, black hat and glasses.
This picture released by Queensland Police shows a man they claim poured hot coffee on a baby in a Brisbane park.
But that’s not always the case.”Police say the man fled Australia a few days after the attack.
I’m very confident that if you’re looking at that footage and you know that person in there, you’re going to know who it is,” Dalton told media on August 28.",science
Xi Jinping had one message for dozens of visiting African leaders: choose China,Simone Mccarthy,09/06/2024,"Beijing CNN —Xi Jinping had a clear aim as he hosted delegates from more than 50 African countries for a major summit in Beijing this week: proving beyond doubt that China is the continent’s premier foreign partner.
Xi and Chinese officials appeared keen to show that Chinese investment, including in African infrastructure, was not over – even as data show Chinese lending for Africa’s development and big-ticket infrastructure has fallen substantially in recent years.
African country leaders had arrived in China seeking seeking investment, trade, and support industrializing their raw commodity sectors to create jobs.
Chinese leader Xi Jinping and his wife Peng Liyuan pose for a group photo with leaders from African nations ahead of a dinner reception in Beijing on September 4.
“Overall (at the forum), the African side created the impression that China remains pivotal,” said Paul Nantulya, a senior China specialist at the Africa Center for Strategic Studies in Washington.",science
Alex Morgan: US soccer legend waves goodbye after playing final minutes of remarkable career,Ben Church,09/09/2024,"CNN —US soccer star Alex Morgan waved an emotional goodbye to her professional career on Sunday, playing her final minutes in the San Diego Wave’s 4-1 loss to the North Carolina Courage.
An emotional Morgan then took off her cleats in the middle of the pitch, before walking off the field in tears.
Morgan signing autographs after her final career match.
Meg Oliphant/Getty ImagesShe then emerged back onto the field after the final whistle to address the thousands of fans who had stayed on.
Meg Oliphant/Getty ImagesMorgan announced her retirement last week with an emotional four-plus minute video on social media.",science
Tyreek Hill: Miami-Dade police officer placed on administrative duty after Dolphins star detained before game,"Kevin Dotson, Ben Morse",09/08/2024,"CNN —The Miami-Dade Police Department placed an officer on administrative leave Sunday after Miami Dolphins star Tyreek Hill was detained prior to the start of the season-opening game.
“Following the incident involving Tyreek Hill, I have initiated an Internal Affairs investigation to ensure a thorough review of the matter.
After the game, Dolphins defensive tackle Calais Campbell said he was also put in handcuffs by police when he attempted to intercede and “deescalate” the situation.
“Apparently, he got a ticket for a moving violation entering the stadium,” Rosenhaus told ESPN.
Mentally, he was very distraught about what happened,” Rosenhaus told ESPN.",science
Video: Tyreek Hill speaks out about being handcuffed by police,John Branch,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",science
‘Beetlejuice Beetlejuice’ box office: Tim Burton’s long-awaited sequel opens at a ‘stellar’ $110 million,Olesya Dmitracova,09/09/2024,"London CNN —“Beetlejuice Beetlejuice,” a follow-up to Tim Burton’s 1988 classic, has landed with a bang, raking in an estimated $110 million in US ticket sales over its opening weekend, based on Comscore data.
The “stellar domestic opening” is the second-highest ever for a movie in September, topped only by “It,” which earned $123 million in its first weekend in 2017, Boxoffice Pro said Sunday.
“The generation-spanning audiences for the new ‘Beetlejuice’ saw kids and adults dressing up for showings, turning it into an event,” said the official publication of the National Association of Theatre Owners.
“It is that rare sequel that felt like a continuation and not a remake of the original, while still giving audiences what they wanted.”Worldwide, “Beetlejuice Beetlejuice,” which stars Jenna Ortega, Winona Ryder and Michael Keaton, earned an estimated $145.4 million over the weekend, according to Comscore.
“Ortega sold this new film to the under-25s and is emerging as Tim Burton’s new muse à la Johnny Depp,” Boxoffice Pro said.",science
Why people are taking photos of their airport trays now,Maureen O'Hare,09/08/2024,"However, the trend is ruffling more than a few feathers, due to the airport security line being one of the top places in the world where it’s imperative to avoid dilly-dallying.
Let’s also not forget that with all those shoes passing through security trays, you may as well be laying your items straight out on the floor.
In 2018, a European study found that airport trays are the least hygienic part of the airport, carrying more germs than toilets.
So while hand sanitizer doesn’t typically feature in these airport tray photos and videos, it should probably play a key part in the aftercare.
“As long as the staged glamor photos are not causing delays or issues with other passengers in the checkpoint, there are no issues.",science
This 70-year-old med student just graduated. He has this advice for others,Kathleen Magramo,09/07/2024,"Toh Hong Keng/Henry Ahn Photo StudioHis family constantly checked on him, helping to dispel many waves of doubt.
“The only reason why I decided to study medicine was because I wanted something useful to do,” he said.
“If I can’t be a practicing doctor, at least I can look after myself somewhat,” he said.
Feeling a little dejected, he got in touch with his family’s former domestic worker whose daughter recently graduated from medical school in the Philippines.
A week later, in 2019﻿ he packed his bags, found a small apartment on the island and started his medical school journey.",science
Whoopi Goldberg slams Anna Sorokin joining ‘Dancing with the Stars’: ‘They gave her permission to do this’,Jackson Loo,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",science
Potential Tropical Cyclone Six forms in Gulf of Mexico,"Gene Norman, Mary Gilbert, Ashley R. Williams, Elisa Raffa, Allison Chinchar",09/08/2024,"CNN —Potential Tropical Cyclone Six has formed over the warm waters of the southern Gulf of Mexico with over two months left of 2024’s Atlantic hurricane season, the National Hurricane Center said Sunday.
Mexico’s government issued a tropical storm watch from Barra del Tordo northward to the mouth of the Rio Grande ahead of potential impacts.
It is forecast to strengthen to hurricane status before it reaches the Texas-Louisiana Gulf Coast, according to the hurricane center.
Data from Colorado State University researchers show about 68% of all Atlantic tropical activity typically occurs after September 1.
Tropical storm conditions are possible within the watch area along the northern coast of Mexico beginning Tuesday.",science
Taylor Swift and Travis Kelce serve couple goals at the US Open final,Alli Rosenbloom,09/08/2024,"CNN —Taylor Swift and Travis Kelce are in their tennis era.
Swift and Kelce were among the famous faces shown on broadcast of the US Open men’s singles final on Sunday.
Matthew McConaughey at the US Open final in New York on Sunday.
(From left) Eddie Redmayne, Anna Wintour and Jon Bon Jovi at the US Open final on Sunday in New York.
Angela Weiss/AFP/Getty ImagesFritz is the first American man to advance to the US Open final since Andy Roddick in 2006.",science
"Agaie, Nigeria: Explosion kills at least 48 people as fuel tanker collides with truck",Associated Press,09/08/2024,"ABUJA, Nigeria Associated Press —A fuel tanker collided head-on with another truck in Nigeria on Sunday causing an explosion that killed at least 48 people, the country’s emergency response agency said.
The fuel tanker was also carrying cattle in the Agaie area in north-central Niger state and at least 50 of them were burned alive, Abdullahi Baba-Arab, director-general of the Niger State Emergency Management Agency, said.
Search and rescue operations were underway at the scene of the accident, Baba-Arab said.
Baba-Arab said initially that 30 bodies were found but in a later statement said an additional 18 bodies of victims who were burned to death in the collision were found.
In 2020 alone, there were 1,531 gasoline tanker crashes resulting in 535 fatalities and 1,142 injuries, according to Nigeria’s Federal Road Safety Corps.",science
Could a $1.4M portrait found in a Maine attic be a long-lost Rembrandt?,Oscar Holland,09/08/2024,"The auction house believes this to be the highest sum ever paid for an artwork at a Maine auction.
Thomaston Place Auction GallerieLost from the recordsRembrandt scholar Gary Schwartz said a potential buyer had earlier sought his opinion on the Maine portrait.
03:09 - Source: CNNArt historian Volker Manuth, who authored publisher Taschen’s 2019 monograph “Rembrandt: The Complete Paintings,” told CNN he was also approached by a potential buyer of the Maine portrait.
But inclusion in a major catalog, or the backing of a big auction house, can increase a painting’s value manyfold.
Schwartz suggested that, should the Maine portrait receive similar endorsement, it might be revalued at up to $5 million.",science
"NFL Week 1 Sunday: Lions win OT thriller, Cowboys dominate Browns and Caleb Williams has debut victory",Ben Morse,09/09/2024,"CNN —Another Sunday of NFL Week 1 action, another mountain of storylines to pick through after wall-to-wall drama.
Dallas Cowboys quarterback Dak Prescott celebrates after a touchdown during the Cowboys' 33-17 victory over the Cleveland Browns in Cleveland on Sunday, September 8.
Ed Zurga/AP Kansas City Chiefs quarterback Patrick Mahomes scrambles during the game against the Baltimore Ravens in Kansas City, Missouri, on September 5.
Jay Biggerstaff/USA Today Sports/Reuters Fans enter Arrowhead Stadium in Kansas City, Missouri, ahead of the game between the Kansas City Chiefs and the Baltimore Ravens on September 5.
Caleb Williams gets debut victoryIt wasn’t pretty, but Caleb Williams’ life in the NFL is off to a winning start.",science
Watch: Video shows California wildfires that are forcing evacuations,Camila Bernal,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",science
"A portrait of one of the few young, female truckers in France",Jacqui Palumbo,01/06/2023,"Amélie is one of the few female truck drivers in France.
At the time photographer Yohanne Lamoulère met her in 2019, she was driving from Arles to Castellón, Spain, and back at least twice a week, Lamoulère explained over email.
The photographer, whose uncle is also a trucker, met Amélie at a truck show in southeastern France where drivers decorate their vehicles for a competition.
Lamoulère then shot her portrait of the newly-engaged couple in front of Amélie’s truck, the bouquet placed on the dashboard above their heads.
She said it’s rare to see a young woman “aboard monsters like Amélie’s truck” and finds it “very beautiful” to see her forge her own path.",science
They were due to leave for their dream cruise in May. Three months on they’re still stuck at the departure port,Julia Buckley,09/07/2024,"CNN —It was the years-long cruise that was supposed to set sail, but saw its departure postponed… postponed… and postponed again.
However, there’s one crucial difference between Life at Sea and Villa Vie Residences, the company attempting the 3.5-year cruise: Villa Vie has a ship.
This meant the certifications had expired – and instead of simply renewing them, Villa Vie was obliged to start from scratch.
Olsen cruise ship.
‘Not what we were expecting’Angela and Steve Theriac have been traveling around Europe while waiting to set sail.",science
The US dominates the Olympics. Why can’t it do the same at the Paralympics?,Jack Hillcox,09/07/2024,"CNN —Olympic fans looking at the Paralympics final medal table are faced with an unfamiliar sight: Team USA lagging behind in the medal table.
In the final 2024 medal table, the US finished third – behind China and Great Britain – with 36 gold medals and 105 in total.
Between 1976 and 1996, Team USA topped the medal table at every single Paralympics.
The Sydney Paralympics, however, were seen by a more modest 300 million people – in other words, 92% fewer people saw the Paralympics than the Olympics that year.
In 2012, UK broadcaster Channel 4 showed over 400 hours of Paralympics coverage.",science
Pharrell’s Joopiter puts on sale of G-Dragon’s prized possessions,"Mike Valerio, Stephy Chung",09/08/2024,"The sale features dozens of items owned by G-Dragon – an avid collector of art, design and fashion – including works he created and customized himself.
Williams’ auction house, Joopiter, is hosting the online sale and an accompanying exhibition, at the Daelim Museum.
JoopiterJoopiter has collaborated with a slew of celebrities since Williams founded his “digital-first” auction house in 2022.
“The wrong attitude is going in and trying to become a collector.”Nike x Peaceminusone Para-noise Air Force 1 sneakers encrusted with crystals featured in the G-Dragon auction.
That is how you build a really beautiful, special collection.”She pointed to Joopiter’s inaugural auction — a sale of almost 50 items from Williams’ personal stash, that raked in over $5 million.",science
"She’s dated in 25 countries, these are her most romantic destinations",Alexandra Gilwit,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",science
Being a police officer is one of America’s hottest jobs right now,Bryan Mena,09/09/2024,"The health care industry is still the leading job creator, though law enforcement is also seeing some momentum.
A sizable chunk of those openings are in law enforcement.
She added that there’s also been a huge spike in job postings on ZipRecruiter listing “law enforcement” as a desired skill.
Bayer started the police officer application process with some reservations but eventually became convinced he was doing the right thing.
But that could change if the job market keeps sliding.",science
Boeing Starliner capsule returns home from space — without astronauts on board,"Jackie Wattles, Ashley Strickland",09/06/2024,"Relive the Boeing Starliner capsule’s return home as it happened.
CNN —Boeing’s Starliner capsule returned from the International Space Station Friday evening — concluding its nearly three-month stay in space.
This screengrab taken from a video shows Boeing Starliner as it touches down in White Sands Space Harbor, New Mexico, at 12:01 a.m.
Boeing and NASA teams work around NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands, New Mexico, on September 7.
NASA astronauts Mike Fincke, left, and Scott Tingle look inside NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands Missile Range’s Space Harbor, in New Mexico, on September 7.",science
Pregnant shark monitored by scientists eaten by a larger predator,Ashley Strickland,09/06/2024,"Habitat loss, overfishingand their fate as bycatch in fishing nets have threatened porbeagle shark populations.
Northwest Atlantic porbeagle sharks are listed as vulnerable on the International Union for Conservation of Nature Red List of Threatened Species.
The team pieced together several factors that indicated the shark had been eaten and the tag excreted by a larger predator that gobbled up the shark, Anderson said.
Unusual suspectsPorbeagles belong to a family called lamnid sharks, which also includes great white sharks and mako sharks.
Gutteridge, who was not involved in the study, agrees that a white shark is the most likely culprit.",science
Ancient asteroid 20 times larger than the one that wiped out the dinosaurs likely hit Jupiter’s moon Ganymede,Ashley Strickland,09/05/2024,"CNN —Jupiter’s moon Ganymede may have shifted on its axis when a massive asteroid smashed into it about 4 billion years ago, according to a new study.
Ganymede, the largest moon in the solar system, is even bigger than Mercury and the dwarf planet Pluto.
The crater left behind on Ganymede was 25% the size of the Jupiter moon, according to the study.
Understanding how the impact altered the moon could reveal insights into its intriguing internal structure, Hirata said.
“I want to understand the origin and evolution of Ganymede and other Jupiter moons,” he said.",science
"Common food dye can make skin transparent in mice, study finds",Katie Hunt,09/05/2024,"“But when we put them together, we were able to achieve transparency of the mouse skin.”Once the dye had completely diffused into the skin, the skin became transparent.
In mice, the researchers were able to observe blood vessels directly in the surface of the brain through the transparent skin of the skull.
Guosong Hong/Stanford UniversityThe transparent areas take on an orangish color, Ou said, similar to that of the food dye.
5 dye, a common food coloring, was used at a low concentration in the study, and its effects were easily undone, according to the researchers.
“However, a partially transparent (mouse) will already enable numerous research opportunities to answer questions relating to development, regeneration, as well as aging.”",science
Asteroid 2024 RW1 burns up in Earth’s atmosphere over Philippines,"Monica Garrett, Steve Tuemmler",09/04/2024,"CNN —A roughly 1-meter (3-foot) asteroid burned up in Earth’s atmosphere over the Philippines near Luzon Island early Wednesday afternoon, according to NASA.
This screen grab taken from a video shows an asteroid burning up in the night sky as witnessed from Gonzaga in Cagayan province, Philippines, on September 4.
Allan Madelar/FacebookThe Catalina Sky Survey discovered the object, initially called CAQTDL2 but now named 2024 RW1, this morning.
“This is just the ninth asteroid that humankind has ever spotted before impact,” ESA tweeted.
The object was harmless as it was small enough to burn up in the atmosphere upon entry.",science
Turkmenistan’s flaming ‘Gates of Hell’,Joe Yogerst,08/30/2024,"Darvaza, Turkmenistan CNN —Rarely does an industrial accident develop into a major tourist attraction.
Mysterious originsNo one is quite sure when the gas crater opened, apparently because the Soviet-era reports are missing, incomplete or still confidential.
Reaching DarvazaThe gas crater lies a four-hour drive north of Ashgabat, the national capital.
Located around a five-minute walk from the crater rim, the camp features yurts with beds and chairs, a shaded dining area and porta-potty/outhouse-style toilets.
Garagum lies about a 10-minute walk from the crater rim and even closer to a small rocky mount where visitors can snatch a bird’s-eye-view of the Gates of Hell.",science
She met a man on a rooftop bar on her first night in Paris. Her life changed forever,Francesca Street,09/06/2024,"A series of fortuitous eventsWhen the train arrived in Paris, Erin and her seat neighbor went their separate ways, and Erin figured she’d never see him again.
It’s called the Generator, and it has a great rooftop bar.’ And I love rooftop bars, so I remembered that.”Erin returned to the US, and she quickly lost touch with her train friend.
Jordan figured the reviews were decent, the prices OK – and the rooftop bar looked appealing.
“Then, that night, there was a party, an organized event on the rooftop,” Erin recalls.
By then, fall had arrived, and Jordan’s summer stint at the rooftop bar was ending.",science
End of an era: The big change coming to European travel in November,Maureen O'Hare,08/31/2024,"Editor’s Note: Sign up for Unlocking the World, CNN Travel’s weekly newsletter.
Get the latest news in aviation, food and drink, where to stay and other travel developments.
CNN —In travel news this week: an accidental megadeal on first-class tickets, the world’s best-connected airport and why now is a good time to plan a trip to Europe.
Goodbye to EU passport stampsPaper mementoes of our travels, from boarding cards to even passports themselves, are fast moving into obsolescence.
Whether you’re off to Greece, Asia or the Middle East, you’ll likely find a use for these 45 best-selling travel accessories.",science
Selena Gomez is a billionaire,Jordan Valinsky,09/06/2024,"New York CNN —Selena Gomez can now add becoming a billionaire to her long list of achievements.
The 32-year-old actress, singer, investor and entrepreneur just achieved the financial milestone thus making her one of the youngest self-made billionaires in the United States, according to Bloomberg, which values her net worth at $1.3 billion.
But her following has also helped her Rare Beauty line, putting her in the celebrity-led category of makeup brands dominated by Rihanna and the Kardashians.
Gomez also has reportedly reached out to investors for Rare Beauty, seeking a $2 billion valuation.
Gomez’s representative didn’t immediately respond to CNN’s request for comment.",science
Stellantis to recall over 1 million Ram vehicles due to brake system software,Robert Ilich,09/07/2024,"CNN —Car manufacturer Stellantis is recalling more than 1.2 million Ram 1500 vehicles due to a software malfunction in the anti-lock brake system (ABS), according to the National Highway Traffic Safety Administration.
The vehicles being recalled include certain 2019, 2021-2024 Ram 1500 trucks, the NHTSA said Saturday in a statement.
Also, the ABS, ESC, Adaptive Cruise Control and Forward Collision Warning indicator lights would illuminate when the vehicle started up to show the systems are unavailable.
Dealers will update the ABS software for free of charge.
The recall comes after a similar recall in June that affected almost 158,000 Ram 2500 pick ups.",science
Viral videos of people stealing money from Chase ATMs were just plain check fraud,Jordan Valinsky,09/03/2024,"New York CNN —A number of viral TikTok videos had some people believing they could get “free” cash from Chase ATMs.
The problem is that this is just a form of check fraud, a criminal offense.
In the case of the viral videos, participants wrote checks for obscene amounts of money and then withdrew as much as they could before the check could bounce.
“Regardless of what you see online, depositing a fraudulent check and withdrawing the funds from your account is fraud, plain and simple,” a Chase spokesperson said.
Do not spend it, do not move it, just leave it alone and tell the bank,” Wang said.",science
These Americans are trying to make ‘underconsumption core’ trendy,Krystal Hur,09/07/2024,"Enter underconsumption core, or a lifestyle that involves using just a small rotation of things for years rather than chasing the latest trend.
Users are posting videos on TikTok showing off their underconsumption core lifestyles, with many receiving hundreds of thousands of likes.
Experts say the underconsumption core trend isn’t just about maintaining a budget or wanting to get rid of stuff.
Still, Americans are spendingDespite the underconsumption core trend’s popularity, spending in the US remains strong overall.
Suzanne Lambert, a 32-year old consultant based in Virginia, says she canceled her subscription to a beauty box after watching underconsumption core videos.",science
"Tim Walz discloses a six-figure salary, modest retirement savings and a pension",Jeanne Sahadi,09/06/2024,"Many recent candidates for high office, by contrast, report millions in income and assets from multiple sources on their forms.
Walz reported a $210,287 income from his job as governor of Minnesota from January 2023 through August of this y﻿ear and a bank account with between $15,000 and $50,000 in cash.
But Walz does have a few retirement savings accounts.
In addition, Walz will be eligible for Social Security benefits and a pension as a former member of the US House of Representatives.
“They did (a) story that said he’s actually richer than his statement says, because he has — and I quote, like this is an evil thing — ‘a defined benefit pension plan.’ That is my wish for every American to have a defined benefit pension plan,” he said.",science
Beleaguered Burberry is no longer one of UK’s most valuable public companies,Olesya Dmitracova,09/05/2024,"London CNN —Luxury brand Burberry is dropping out of Britain’s main stock index after suffering a steep fall in value following a plunge in sales and profits.
The 168-year-old brand will leave the FTSE 100, which brings together the 100 most valuable companies listed on the London Stock Exchange, as a result of a quarterly review, the exchange said in a statement Wednesday.
Spending on luxury goods has been slowing globally but particularly in the world’s no.
2 economy China, hitting not only the likes of Burberry but also higher-end brands.
In July, the company replaced its chief executive — who had spent just two years in the role — after another disappointing quarter.",science
New York Times publisher A.G. Sulzberger sounds the alarm on Trump using authoritarian anti-press ‘playbook’,Liam Reilly,09/05/2024,"New York CNN —A.G. Sulzberger, the New York Times publisher, sounded the alarm Thursday on the “quiet war” against press freedoms unleashed by authoritarians around the world and said Americans should understand the anti-media “playbook” that Donald Trump might employ in a second term.
“The effectiveness of this playbook should not be underestimated,” Sulzberger wrote.
“I believe the risk is shared by our entire profession, as well as all who depend on it,” he wrote.
The collaboration makes a clear statement about the importance of solidarity in the face of existential threats to press freedom.
“They’ve been a great partner on the cause of press freedom over many decades and it’s great to see that tradition continue.”",science
See inside Jennifer Garner’s tranquil farmhouse-style home,Jacqui Palumbo,09/03/2024,"But until now, Garner hasn’t given a full tour inside her Westside Los Angeles property.
She had searched for a home with privacy, but the ones she toured all felt too “grand,” she explained.
It’s a house fully in use, too, rather than siloed off — a rarity for a house with multiple pre-teens and teenagers.
“I am happy that I feel like we use the space really well, and that the kids are all over the house,” Garner said.
The windows were made by the author’s son, the artist Reed Bradley, as a tribute to his mother’s work.",science
I’m 36 — when do I have to give up crop tops?,Jacqui Palumbo,09/01/2024,"CNN —As a pre-teen in Y2K, the (small) shadows of crop tops loomed large.
In a decade when unforgiving low-rise jeans were the norm — and criticism over women’s bodies perfunctory — crop tops were not casual, easy wear; any softness of the torso was considered an aberration.
Now that I’m 36, crop tops have become an unlikely staple in my wardrobe, and I’m reluctant to let them go.
Can I still wear crop tops in my forties?
I can also keep wearing crop tops for as long as I feel like it — after all, whenever I see a woman a generation ahead of me owning her personal style and at ease with herself, it gives me something to aspire to.",science
How plaid became popular for school uniforms,Jacqui Palumbo,09/05/2024,"CNN —As students return to school, one patterned textile now synonymous with uniforms will make its seasonal reappearance on pleated skirts, jumpers and ties: plaid.
It’s a family of textiles with broad scholarly appeal, with both religious and secular schools worldwide incorporating plaid into uniforms, from Mexico to Japan to Australia.
Centuries of romanticizing Highlander clanship and identity has likely influenced our contemporary understanding of the textile, Maxwell noted.
But the textile didn’t become a fixture of school uniforms until the 1960s, according to historian and educator Sally Dwyer-McNulty, who authored “Common Threads: A Cultural History of Clothing in American Catholicism” in 2014.
(Dwyer-McNulty herself attended two different Catholic schools in Philadelphia, wearing plaid uniforms through high school).",science
The world’s most remarkable tennis courts,Yahya Salem,09/06/2024,"But to American photographer and journalist Nick Pachelli, a tennis court is the harmonious union of surface, sound, and spectators, complemented by the natural elements and the inherent intensity of tennis.
“Tennis is our only sport where the canvas on which we play can change so dramatically,” Pachelli, a former amateur tennis player himself, told CNN, highlighting each court’s “unique persona,” as he describes in his new photobook, The Tennis Court.
During more than 500 days of travel, Pachelli visited 172 courts (of the roughly 200 in the book), crisscrossing more than 250 cities and towns in his pursuit of spotlighting the world’s most aesthetic, esteemed, and even idiosyncratic tennis courts.
Reached by a few hundred steps, the tennis court at Hotel Il San Pietro Di Positano in Italy is between the cliff face and the pebble beach.
The Courts at Borrego Springs in California describe themselves as 'four tennis courts, a clubhouse and a pool in the middle of nowhere.""",science
Chidimma Adetshina crowned Miss Universe Nigeria after quitting South African pageant due to xenophobia,Nimi Princewill,09/02/2024,"Lagos, Nigeria CNN —Chidimma Adetshina, a beauty pageant contestant who faced a wave of hostility in South Africa after questions arose about her nationality, has been crowned Miss Universe Nigeria.
She will represent Nigeria in the Miss Universe competition in Mexico in November.
Chidimma Adetshina will compete in Miss Universe in November.
Benson Ibeabuchi/AFP/Getty ImagesMany South Africans had questioned her eligibility to participate in their country’s contest after reports emerged that she was born to a Nigerian father and a South African mother with Mozambican roots.
South African authorities say they are working to clarify Adetshina’s citizenship status after the country’s Home Affairs department, which oversees immigration, said her mother may have committed identity fraud to obtain South African citizenship in 2001.",science
Russian watchmaker upends race to design world’s thinnest watch,Oscar Holland,09/05/2024,"CNN —In recent years, the giants of European horology have been locked in a heated battle to design the world’s thinnest mechanical watch.
The stainless steel watch presented by Konstantin Chaykin in Geneva last week is the second prototype of his ThinKing model.
Konstantin Chaykin has applied for patents for his utra-thin winding barrel, double balance wheel and strap design.
He welcomed outside assessment, telling CNN that during the five-day Geneva Watch Days fair “hundreds of people” were able to inspect his creation.
He was inspired to make one after being challenged by a client to design an ultra-thin watch of his own.",science
"2024 NFL season guide: How to watch, potential three-peat on the cards, Week 1 schedule",Ben Morse,09/05/2024,"CNN —Fans and players alike have been counting down to this: the beginning of the new NFL season.
Between one team going for history, a fresh crop of new quarterbacks and an NFL game being played on a new continent, there’s a lot to watch out for.
Over the course of the NFL season, fans can tune in to watch games on TV through CBS, ESPN, FOX, NBC, ABC and NFL Network.
Patrick Mahomes is hoping to lead the Kansas City Chiefs to a historic three-peat of Super Bowl titles.
Rookie Bo Nix will be the Denver Broncos' starting quarterback for Week 1 of the 2024 season after impressing in preseason.",science
Lyudmyla Kichenok: This tennis player was supposed to be at her wedding. But winning the US Open women’s doubles title changed her plans,Ben Morse,09/08/2024,"But that schedule all changed when the Ukrainian player and her doubles partner Jelena Ostapenko kept on winning in the women’s doubles tournament.
So much so that they claimed the grand slam title on Friday, beating Kristina Mladenovic and Zhang Shuai in straight sets in the final in Arthur Ashe Stadium.
After claiming her maiden grand slam title, Kichenok revealed that Kumarsky – who is Ostapenko’s coach – had initially booked the wedding two days before the final for the pair to tie the knot but her success on the court curtailed that plan.
“We decided when we got here to New York, my boyfriend Stas, he checked where we can do it, because we got engaged more than a year ago,” the 32-year-old said on court after winning the women’s doubles title.
Luke Hales/Getty ImagesKichenok and Ostapenko were dominant on their way to claiming the US Open women’s doubles title, not dropping a set all tournament.",science
Aryna Sabalenka wins US Open over American Jessica Pegula,"Andy Scholes, Jill Martin",09/07/2024,"2 from Belarus, defeated American Jessica Pegula 7-5, 7-5 at Arthur Ashe Stadium to win the US Open for the first time.
A year ago, she lost to Coco Gauff, and the New York crowd was not on the Belarusian’s side, loudly pulling for the American.
“I would say that this year, I felt so much love from the crowd,” Sabalenka told CNN.
Those two losses were to Sabalenka: in the Cincinnati Open final last month and Saturday in her first grand slam singles final.
To be able to be standing here in my first grand slam final, and then coming off such a hot summer, I didn’t expect it.",science
